regime,M,seed,fold,n_train_groups,n_test_groups,balanced_acc,balanced_acc_3class,bal_acc_c2_vs_c3,mid_k_frac,abs_r_c1,abs_r_c2,abs_r_c3,abs_r_c4,ablation_acc_drop,confusion_flat,kbin_importance_flat,runtime_sec
per_sightline,1,48,1,52428,13108,0.2960787305462313,0.15980063065812225,0.15730851388465059,0.18949096188674094,0.08806721473471944,0.025093165129026845,0.001849707904385083,0.23919127853692945,0.0005340250228867416,"0.164785,0.454074,0.279524,0.101617,0.468721,0.118706,0.308514,0.104059,0.304547,0.358255,0.195911,0.141288,0.095209,0.083918,0.115960,0.704913","0.050242,0.000000,0.048740,0.048910,0.047119,0.045979,0.045190,0.044752,0.044273,0.045104,0.045166,0.045890,0.048600,0.049836,0.052447,0.058558,0.063493,0.064546,0.076541,0.074616",12.095586061477661
per_sightline,1,48,2,52429,13107,0.29147959955482083,0.1504424778761062,0.14754348489472077,0.18908095608081243,0.0815916940411754,0.03120274522558525,0.03187190944467783,0.1503661008086036,-0.005874298539083389,"0.156240,0.485200,0.252670,0.105890,0.471468,0.116265,0.304547,0.107720,0.331706,0.346048,0.178822,0.143424,0.104090,0.076313,0.105006,0.714591","0.050407,0.000000,0.048922,0.049044,0.047192,0.045900,0.045239,0.044579,0.044179,0.044999,0.045100,0.046216,0.048181,0.049584,0.052580,0.057632,0.063181,0.065961,0.077182,0.073922",12.104813575744629
per_sightline,1,48,3,52429,13107,0.29403338117482153,0.15798896963071513,0.15337039371979866,0.18868662635644412,0.0762982928500659,0.009552822464461925,0.024470299633982,0.14437699900803128,-0.003508748397366035,"0.167226,0.458651,0.274336,0.099786,0.471163,0.117180,0.304242,0.107415,0.306166,0.356532,0.189560,0.147741,0.093683,0.080256,0.123894,0.702167","0.050346,0.000000,0.049020,0.049417,0.046970,0.045866,0.045377,0.044722,0.044183,0.044851,0.045055,0.045898,0.048087,0.049647,0.052878,0.056981,0.063650,0.064935,0.077229,0.074889",12.285793781280518
per_sightline,1,48,4,52429,13107,0.2931124138974307,0.1513699035060036,0.15274908778875823,0.18888026061705315,0.08652372520404485,0.0252586170481651,0.03177802680914638,0.1930035743667057,-0.0024415134080986722,"0.148612,0.467196,0.276778,0.107415,0.465201,0.117521,0.315324,0.101954,0.303021,0.353067,0.187977,0.155935,0.097955,0.071102,0.112603,0.718340","0.050581,0.000000,0.049489,0.048811,0.047006,0.045685,0.045225,0.044764,0.044153,0.044934,0.045144,0.045933,0.047875,0.049929,0.052443,0.057134,0.063962,0.065316,0.077450,0.074166",12.305455923080444
per_sightline,1,48,5,52429,13107,0.29120900079475,0.15310421955219025,0.1458651205370766,0.18860338469873825,0.0640438443935886,0.00566539898932094,0.016907158716360136,0.15599981006757224,-0.003281487356098234,"0.167582,0.467338,0.253053,0.112027,0.475130,0.115655,0.303937,0.105279,0.330790,0.345743,0.176076,0.147391,0.104059,0.083918,0.106500,0.705523","0.050337,0.000000,0.048889,0.048934,0.047128,0.045660,0.045081,0.044528,0.044186,0.045132,0.045031,0.045940,0.047760,0.049872,0.053252,0.057919,0.062889,0.065742,0.077911,0.073807",11.989405155181885
per_sightline,1,49,1,52428,13108,0.29325602685382973,0.1556301495270064,0.15196826365578273,0.1912298485084853,0.07787621956542569,0.015274512524186367,0.03819670452199843,0.13552320092786763,-0.004424778761061954,"0.162954,0.459567,0.262435,0.115044,0.455905,0.119011,0.324382,0.100702,0.314312,0.341776,0.184925,0.158987,0.104059,0.076594,0.113213,0.706134","0.049910,0.000000,0.049148,0.048603,0.047173,0.045692,0.045293,0.044609,0.044372,0.045136,0.045317,0.045592,0.049165,0.051156,0.051689,0.056205,0.061962,0.065857,0.077403,0.075716",12.336653232574463
per_sightline,1,49,2,52429,13107,0.2932335080069288,0.15603702573492015,0.15059505645407384,0.1914261569969223,0.10860952455715814,0.045827323725006204,0.0009372665275666765,0.1962841137540989,-0.002517499961808778,"0.166921,0.468111,0.250534,0.114434,0.482148,0.114434,0.308209,0.095209,0.308819,0.341471,0.186756,0.162954,0.104090,0.084249,0.106838,0.704823","0.050826,0.000000,0.048976,0.048880,0.046902,0.045847,0.045125,0.044604,0.044319,0.044953,0.045544,0.045919,0.048963,0.051001,0.051700,0.057020,0.062064,0.065912,0.076285,0.075161",12.45829463005066
per_sightline,1,49,3,52429,13107,0.2986862593209862,0.15656387826055204,0.1487914994170716,0.19069857475573831,0.05680918613641032,0.008451629154343405,0.06562821080506617,0.23066492963625823,-0.004806341642624834,"0.172109,0.444614,0.272810,0.110467,0.465365,0.118096,0.311260,0.105279,0.316545,0.352869,0.179487,0.151099,0.099176,0.070796,0.104974,0.725053","0.050143,0.000000,0.049120,0.048681,0.047253,0.045570,0.045225,0.044655,0.044303,0.044866,0.045323,0.045744,0.048876,0.050756,0.052026,0.056910,0.063227,0.065360,0.076063,0.075900",12.335675477981567
per_sightline,1,49,4,52429,13107,0.2889168290259227,0.15076002389093632,0.15290231841193086,0.1917174961835472,0.07319632098038369,0.06819518378054656,0.019243201699350457,0.15351284643395352,-0.008239802106143335,"0.146475,0.482759,0.271590,0.099176,0.460012,0.121795,0.311050,0.107143,0.321025,0.354593,0.184010,0.140372,0.103448,0.079646,0.113518,0.703387","0.050404,0.000000,0.049106,0.048419,0.047049,0.045809,0.045437,0.044479,0.044527,0.044968,0.045654,0.045949,0.049111,0.051003,0.052061,0.056712,0.062899,0.064860,0.076757,0.074799",12.737388849258423
per_sightline,1,49,5,52429,13107,0.29059803443767435,0.15208615963879926,0.14861153494049437,0.18980952580070426,0.06900871642913448,0.015379764193144045,0.007498125869307505,0.1858416307302708,-0.002823122864319072,"0.159035,0.469170,0.266789,0.105006,0.474214,0.111382,0.306683,0.107720,0.314312,0.362832,0.185841,0.137016,0.100092,0.079341,0.114434,0.706134","0.050710,0.000000,0.048730,0.048815,0.047345,0.045979,0.045118,0.044500,0.044340,0.045280,0.045356,0.045560,0.048598,0.050296,0.052514,0.057508,0.062008,0.067264,0.075109,0.074971",12.606971740722656
