M,alpha,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
64,0.2,45,3,205,51,0.9007692307692308,0.21967482566833496
64,0.2,45,4,205,51,0.8046153846153846,0.21876955032348633
64,0.2,45,5,205,51,0.8461538461538461,0.21996736526489258
64,0.5,45,1,204,52,0.9615384615384616,0.21429038047790527
64,0.5,45,2,205,51,1.0,0.21881508827209473
64,0.5,45,3,205,51,0.94,0.21035408973693848
64,0.5,45,4,205,51,0.9407692307692308,0.21100139617919922
64,0.5,45,5,205,51,0.9615384615384616,0.21210455894470215
64,1.0,45,1,204,52,1.0,0.2141718864440918
64,1.0,45,2,205,51,1.0,0.2405393123626709
64,1.0,45,3,205,51,1.0,0.21687054634094238
64,1.0,45,4,205,51,0.9215384615384616,0.2130739688873291
64,1.0,45,5,205,51,0.9807692307692308,0.210160493850708
256,0.0,45,1,51,13,0.6904761904761905,0.19930362701416016
256,0.0,45,2,51,13,0.39285714285714285,0.21492457389831543
256,0.0,45,3,51,13,0.5357142857142857,0.21077442169189453
256,0.0,45,4,51,13,0.9285714285714286,0.2028050422668457
256,0.0,45,5,52,12,0.6666666666666667,0.19811344146728516
256,0.01,45,1,51,13,0.6071428571428572,0.20121335983276367
256,0.01,45,2,51,13,0.39285714285714285,0.20229077339172363
256,0.01,45,3,51,13,0.6190476190476191,0.2066328525543213
256,0.01,45,4,51,13,0.7738095238095238,0.2108912467956543
256,0.01,45,5,52,12,0.6666666666666667,0.19940900802612305
256,0.02,45,1,51,13,0.5357142857142857,0.21112489700317383
256,0.02,45,2,51,13,0.39285714285714285,0.20825791358947754
256,0.02,45,3,51,13,0.5357142857142857,0.2158370018005371
256,0.02,45,4,51,13,0.7738095238095238,0.2164933681488037
256,0.02,45,5,52,12,0.6666666666666667,0.2184431552886963
256,0.05,45,1,51,13,0.4642857142857143,0.20885396003723145
256,0.05,45,2,51,13,0.5476190476190476,0.21218609809875488
256,0.05,45,3,51,13,0.5357142857142857,0.20967769622802734
256,0.05,45,4,51,13,0.7023809523809523,0.211897611618042
256,0.05,45,5,52,12,0.5833333333333333,0.21502065658569336
256,0.1,45,1,51,13,0.4642857142857143,0.22042036056518555
256,0.1,45,2,51,13,0.7023809523809523,0.22365760803222656
256,0.1,45,3,51,13,0.6190476190476191,0.22000598907470703
256,0.1,45,4,51,13,0.6904761904761905,0.21300768852233887
256,0.1,45,5,52,12,0.6666666666666666,0.20615386962890625
256,0.2,45,1,51,13,0.7619047619047619,0.19766855239868164
256,0.2,45,2,51,13,0.8452380952380952,0.20924115180969238
256,0.2,45,3,51,13,0.6904761904761905,0.202498197555542
256,0.2,45,4,51,13,0.7619047619047619,0.20013141632080078
256,0.2,45,5,52,12,0.9166666666666667,0.2163548469543457
256,0.5,45,1,51,13,0.9166666666666667,0.1975851058959961
256,0.5,45,2,51,13,0.9285714285714286,0.21541142463684082
256,0.5,45,3,51,13,0.9285714285714286,0.20146608352661133
256,0.5,45,4,51,13,0.9166666666666667,0.199171781539917
256,0.5,45,5,52,12,0.9166666666666667,0.20479679107666016
256,1.0,45,1,51,13,1.0,0.19985485076904297
256,1.0,45,2,51,13,1.0,0.20240139961242676
256,1.0,45,3,51,13,0.9285714285714286,0.2054593563079834
256,1.0,45,4,51,13,1.0,0.22641587257385254
256,1.0,45,5,52,12,1.0,0.19974422454833984
64,0.0,46,1,204,52,0.5576923076923077,0.2108457088470459
64,0.0,46,2,205,51,0.5492307692307692,0.21442723274230957
64,0.0,46,3,205,51,0.6284615384615384,0.21892285346984863
64,0.0,46,4,205,51,0.6092307692307692,0.22026801109313965
64,0.0,46,5,205,51,0.6107692307692307,0.21457433700561523
64,0.01,46,1,204,52,0.8269230769230769,0.21948456764221191
64,0.01,46,2,205,51,0.6676923076923077,0.2159714698791504
64,0.01,46,3,205,51,0.6853846153846154,0.21661615371704102
64,0.01,46,4,205,51,0.7646153846153847,0.21294403076171875
64,0.01,46,5,205,51,0.7076923076923077,0.21267199516296387
