regime,M,pair,seed,fold,n_train_groups,n_test_groups,balanced_acc,exploratory_flag,runtime_sec
per_sightline,1,C3-C4,47,5,26215,6553,0.7724767899851819,0,2.2535970211029053
per_sightline,1,C4-rest,47,1,52428,13108,0.7531787203743261,0,6.0141284465789795
per_sightline,1,C4-rest,47,2,52429,13107,0.7546362277061087,0,6.0432448387146
per_sightline,1,C4-rest,47,3,52429,13107,0.7480397145119768,0,5.87215781211853
per_sightline,1,C4-rest,47,4,52429,13107,0.751091410245147,0,5.941188335418701
per_sightline,1,C4-rest,47,5,52429,13107,0.7543463474737302,0,5.9143712520599365
per_sightline,1,C1-C2,48,1,26214,6554,0.29127250534025023,0,3.966447114944458
per_sightline,1,C1-C2,48,2,26214,6554,0.2795239548367409,0,3.8103504180908203
per_sightline,1,C1-C2,48,3,26214,6554,0.29157766249618555,0,4.068304777145386
per_sightline,1,C1-C2,48,4,26215,6553,0.2893282462629426,0,3.896221399307251
per_sightline,1,C1-C2,48,5,26215,6553,0.2957485162245614,0,3.942474365234375
per_sightline,1,C1-C3,48,1,26214,6554,0.4144034177601465,0,2.9505553245544434
per_sightline,1,C1-C3,48,2,26214,6554,0.4156240463838877,0,2.886350393295288
per_sightline,1,C1-C3,48,3,26214,6554,0.4169972535855966,0,2.916517972946167
per_sightline,1,C1-C3,48,4,26215,6553,0.41919338841066034,0,2.9384379386901855
per_sightline,1,C1-C3,48,5,26215,6553,0.42347383230813196,0,2.9137814044952393
per_sightline,1,C1-C4,48,1,26214,6554,0.7961550198352152,0,2.3164150714874268
per_sightline,1,C1-C4,48,2,26214,6554,0.7902044552944767,0,2.358610153198242
per_sightline,1,C1-C4,48,3,26214,6554,0.797528227036924,0,2.340137481689453
per_sightline,1,C1-C4,48,4,26215,6553,0.7977981271771324,0,2.3239634037017822
per_sightline,1,C1-C4,48,5,26215,6553,0.7884988913368529,0,2.3188462257385254
per_sightline,1,C2-C3,48,1,26214,6554,0.3632895941409826,0,2.8355376720428467
per_sightline,1,C2-C3,48,2,26214,6554,0.36100091547146784,0,2.837088108062744
per_sightline,1,C2-C3,48,3,26214,6554,0.36084833689350015,0,2.9050817489624023
per_sightline,1,C2-C3,48,4,26215,6553,0.3619711587364929,0,2.859687566757202
per_sightline,1,C2-C3,48,5,26215,6553,0.3689938718928649,0,2.890850067138672
per_sightline,1,C2-C4,48,1,26214,6554,0.7882209337808972,0,2.207134485244751
per_sightline,1,C2-C4,48,2,26214,6554,0.7828806835520292,0,2.236065149307251
per_sightline,1,C2-C4,48,3,26214,6554,0.785627097955447,0,2.2824935913085938
per_sightline,1,C2-C4,48,4,26215,6553,0.7866577485512487,0,2.2880051136016846
per_sightline,1,C2-C4,48,5,26215,6553,0.7738490191190832,0,2.216313123703003
per_sightline,1,C3-C4,48,1,26214,6554,0.77372596887397,0,2.246088981628418
per_sightline,1,C3-C4,48,2,26214,6554,0.767165090021361,0,2.1968016624450684
per_sightline,1,C3-C4,48,3,26214,6554,0.7642660970399756,0,2.217993974685669
per_sightline,1,C3-C4,48,4,26215,6553,0.7767385108703388,0,2.2422397136688232
per_sightline,1,C3-C4,48,5,26215,6553,0.7622518828271041,0,2.2479097843170166
per_sightline,1,C4-rest,48,1,52428,13108,0.7616722612145255,0,6.033332824707031
per_sightline,1,C4-rest,48,2,52429,13107,0.7464447235197922,0,6.012173175811768
per_sightline,1,C4-rest,48,3,52429,13107,0.7471753405699765,0,6.023723840713501
per_sightline,1,C4-rest,48,4,52429,13107,0.7505319451114476,0,5.811041355133057
per_sightline,1,C4-rest,48,5,52429,13107,0.7525152493208468,0,5.972291946411133
per_sightline,1,C1-C2,49,1,26214,6554,0.2850167836435764,0,4.009884595870972
per_sightline,1,C1-C2,49,2,26214,6554,0.28394873359780287,0,4.118228197097778
per_sightline,1,C1-C2,49,3,26214,6554,0.28852609093683246,0,3.8365166187286377
per_sightline,1,C1-C2,49,4,26215,6553,0.29344842676395927,0,3.7511789798736572
per_sightline,1,C1-C2,49,5,26215,6553,0.2907129108303963,0,4.071839094161987
per_sightline,1,C1-C3,49,1,26214,6554,0.412419896246567,0,2.992072582244873
per_sightline,1,C1-C3,49,2,26214,6554,0.41043637473298744,0,2.9467148780822754
per_sightline,1,C1-C3,49,3,26214,6554,0.4169972535855966,0,2.972048759460449
per_sightline,1,C1-C3,49,4,26215,6553,0.42468728843461834,0,2.898822069168091
per_sightline,1,C1-C3,49,5,26215,6553,0.4137069403319022,0,2.999079704284668
per_sightline,1,C1-C4,49,1,26214,6554,0.7917302410741531,0,2.2873013019561768
per_sightline,1,C1-C4,49,2,26214,6554,0.7808971620384498,0,2.3490169048309326
per_sightline,1,C1-C4,49,3,26214,6554,0.7961550198352152,0,2.3082644939422607
per_sightline,1,C1-C4,49,4,26215,6553,0.7948971780601319,0,2.3397085666656494
per_sightline,1,C1-C4,49,5,26215,6553,0.7978080010045222,0,2.308596611022949
per_sightline,1,C2-C3,49,1,26214,6554,0.3632895941409826,0,2.7999343872070312
per_sightline,1,C2-C3,49,2,26214,6554,0.3606957583155325,0,2.7935571670532227
per_sightline,1,C2-C3,49,3,26214,6554,0.35581324382056756,0,2.774357795715332
per_sightline,1,C2-C3,49,4,26215,6553,0.3573938479721208,0,2.8103039264678955
per_sightline,1,C2-C3,49,5,26215,6553,0.3613601458047598,0,2.8086609840393066
per_sightline,1,C2-C4,49,1,26214,6554,0.7839487335978028,0,2.241248369216919
per_sightline,1,C2-C4,49,2,26214,6554,0.7757094903875497,0,2.224048376083374
per_sightline,1,C2-C4,49,3,26214,6554,0.7866951480012206,0,2.217108964920044
per_sightline,1,C2-C4,49,4,26215,6553,0.787876979935265,0,2.248136520385742
per_sightline,1,C2-C4,49,5,26215,6553,0.786667482654666,0,2.2480111122131348
per_sightline,1,C3-C4,49,1,26214,6554,0.7641135184620079,0,2.2162423133850098
per_sightline,1,C3-C4,49,2,26214,6554,0.759231003967043,0,2.2676784992218018
per_sightline,1,C3-C4,49,3,26214,6554,0.775556911809582,0,2.1977434158325195
per_sightline,1,C3-C4,49,4,26215,6553,0.772463562782452,0,2.193166732788086
per_sightline,1,C3-C4,49,5,26215,6553,0.7662189724289206,0,2.2917325496673584
per_sightline,1,C4-rest,49,1,52428,13108,0.7535347370562506,0,6.042871475219727
per_sightline,1,C4-rest,49,2,52429,13107,0.7485310353024726,0,6.047055006027222
per_sightline,1,C4-rest,49,3,52429,13107,0.7476838944385962,0,6.048447370529175
per_sightline,1,C4-rest,49,4,52429,13107,0.7508367918328397,0,5.963086366653442
per_sightline,1,C4-rest,49,5,52429,13107,0.7578048366322694,0,6.122221231460571
per_sightline,1,C1-C2,50,1,26214,6554,0.2801342691486115,0,4.033155918121338
per_sightline,1,C1-C2,50,2,26214,6554,0.2952395483674092,0,3.806006669998169
per_sightline,1,C1-C2,50,3,26214,6554,0.29050961245041196,0,4.007256984710693
per_sightline,1,C1-C2,50,4,26215,6553,0.29283760013085613,0,3.9469153881073
per_sightline,1,C1-C2,50,5,26215,6553,0.2885758792456992,0,3.732543468475342
per_sightline,1,C1-C3,50,1,26214,6554,0.4116570033567287,0,2.880280017852783
per_sightline,1,C1-C3,50,2,26214,6554,0.4127250534025023,0,3.0307157039642334
per_sightline,1,C1-C3,50,3,26214,6554,0.41837046078730544,0,2.880765199661255
per_sightline,1,C1-C3,50,4,26215,6553,0.4156842208413768,0,2.996986150741577
per_sightline,1,C1-C3,50,5,26215,6553,0.41096029305519693,0,2.9311678409576416
per_sightline,1,C1-C4,50,1,26214,6554,0.7819652120842233,0,2.316809892654419
per_sightline,1,C1-C4,50,2,26214,6554,0.7902044552944767,0,2.3591902256011963
per_sightline,1,C1-C4,50,3,26214,6554,0.7967653341470857,0,2.347827672958374
per_sightline,1,C1-C4,50,4,26215,6553,0.7921513225526042,0,2.3443775177001953
per_sightline,1,C1-C4,50,5,26215,6553,0.7956716680396876,0,2.287461757659912
per_sightline,1,C2-C3,50,1,26214,6554,0.362221544095209,0,2.745321750640869
per_sightline,1,C2-C3,50,2,26214,6554,0.36054317973756483,0,2.8803024291992188
per_sightline,1,C2-C3,50,3,26214,6554,0.3669514800122063,0,2.808983564376831
per_sightline,1,C2-C3,50,4,26215,6553,0.35876696202451464,0,2.885551691055298
per_sightline,1,C2-C3,50,5,26215,6553,0.3638022879707347,0,2.898766040802002
per_sightline,1,C2-C4,50,1,26214,6554,0.7743362831858407,0,2.2970314025878906
per_sightline,1,C2-C4,50,2,26214,6554,0.7847116264876411,0,2.211085557937622
per_sightline,1,C2-C4,50,3,26214,6554,0.7915776624961856,0,2.2267966270446777
per_sightline,1,C2-C4,50,4,26215,6553,0.7842154200866438,0,2.2376437187194824
per_sightline,1,C2-C4,50,5,26215,6553,0.7883460798855977,0,2.2468206882476807
per_sightline,1,C3-C4,50,1,26214,6554,0.7602990540128166,0,2.207575798034668
per_sightline,1,C3-C4,50,2,26214,6554,0.7653341470857491,0,2.2673635482788086
per_sightline,1,C3-C4,50,3,26214,6554,0.7738785474519378,0,2.1971535682678223
per_sightline,1,C3-C4,50,4,26215,6553,0.7678863917420524,0,2.232633590698242
per_sightline,1,C3-C4,50,5,26215,6553,0.7720186350793614,0,2.2476344108581543
per_sightline,1,C4-rest,50,1,52428,13108,0.7589767063370969,0,5.9325034618377686
per_sightline,1,C4-rest,50,2,52429,13107,0.7486831481338652,0,6.093763828277588
per_sightline,1,C4-rest,50,3,52429,13107,0.7483959381502634,0,6.113999128341675
per_sightline,1,C4-rest,50,4,52429,13107,0.7528713487853163,0,6.002214431762695
per_sightline,1,C4-rest,50,5,52429,13107,0.7469206755924875,0,5.928013563156128
per_sightline,1,C1-C2,51,1,26214,6554,0.2917302410741532,0,3.8732800483703613
