M,task,feature_set,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
1,4class,fbar_var,43,2,52429,13107,0.31762821910060235,1.9698998928070068
1,4class,fbar_var,43,3,52429,13107,0.3205888070665306,1.9660587310791016
1,4class,fbar_var,43,4,52429,13107,0.32554644648404185,2.012605667114258
1,4class,fbar_var,43,5,52429,13107,0.3146377302045596,1.9850163459777832
1,C1-C2,fbar,44,1,26214,6554,0.5048825144949649,1.670112133026123
1,C1-C2,fbar,44,2,26214,6554,0.49755874275251755,1.7069201469421387
1,C1-C2,fbar,44,3,26214,6554,0.5022886786695148,1.5396177768707275
1,C1-C2,fbar,44,4,26215,6553,0.5032810448968521,1.5104305744171143
1,C1-C2,fbar,44,5,26215,6553,0.509234450491698,1.6054883003234863
1,C1-C3,fbar,44,1,26214,6554,0.5091547146780592,1.5232508182525635
1,C1-C3,fbar,44,2,26214,6554,0.4943545926151968,1.4297442436218262
1,C1-C3,fbar,44,3,26214,6554,0.5007628928898382,1.4358744621276855
1,C1-C3,fbar,44,4,26215,6553,0.5090802883753753,1.462855577468872
1,C1-C3,fbar,44,5,26215,6553,0.49885468259743515,1.4257066249847412
1,C1-C4,fbar,44,1,26214,6554,0.5529447665547758,1.1705543994903564
1,C1-C4,fbar,44,2,26214,6554,0.5549282880683553,1.1507279872894287
1,C1-C4,fbar,44,3,26214,6554,0.5584375953616112,1.1598446369171143
1,C1-C4,fbar,44,4,26215,6553,0.560047168950129,1.1199042797088623
1,C1-C4,fbar,44,5,26215,6553,0.5447870755698037,1.1177890300750732
1,C2-C3,fbar,44,1,26214,6554,0.4971010070186146,1.8961155414581299
1,C2-C3,fbar,44,2,26214,6554,0.5091547146780592,2.0759358406066895
1,C2-C3,fbar,44,3,26214,6554,0.49359169972535855,1.981999397277832
1,C2-C3,fbar,44,4,26215,6553,0.4987007533544,1.9695281982421875
1,C2-C3,fbar,44,5,26215,6553,0.49641375137255517,2.1418955326080322
1,C2-C4,fbar,44,1,26214,6554,0.5753738175160208,1.0764579772949219
1,C2-C4,fbar,44,2,26214,6554,0.5740006103143118,1.087859869003296
1,C2-C4,fbar,44,3,26214,6554,0.5732377174244736,1.0387797355651855
1,C2-C4,fbar,44,4,26215,6553,0.5585220352156575,1.0491092205047607
1,C2-C4,fbar,44,5,26215,6553,0.572103624514366,1.0652942657470703
1,C3-C4,fbar,44,1,26214,6554,0.5613365883429966,1.0312800407409668
1,C3-C4,fbar,44,2,26214,6554,0.5694232529752823,1.058445692062378
1,C3-C4,fbar,44,3,26214,6554,0.5648458956362526,1.0591886043548584
1,C3-C4,fbar,44,4,26215,6553,0.5672201319515937,1.0567238330841064
1,C3-C4,fbar,44,5,26215,6553,0.5676786128800166,1.044929027557373
1,C4-rest,fbar,44,1,52428,13108,0.5543179737564845,2.310460329055786
