pixel,wavelength_angstrom,flux,absorption
38,1580.8994167574967,0.9996517373434706,0.00034826265652943
39,1580.9133214251065,0.9996555538231706,0.0003444461768293827
40,1580.9272262150137,0.9996592029638993,0.0003407970361006818
41,1580.941131127221,0.9996623449401449,0.0003376550598550576
42,1580.955036161726,0.9996647896987962,0.00033521030120375883
43,1580.9689413185317,0.9996666116148477,0.00033338838515228897
44,1580.9828465976407,0.9996677449947621,0.00033225500523792473
45,1580.9967519990505,0.9996674902478935,0.00033250975210652456
46,1581.0106575227644,0.9996645358145854,0.00033546418541463563
47,1581.024563168783,0.9996573602559065,0.0003426397440935425
48,1581.0384689371092,0.9996443753856205,0.00035562461437954607
49,1581.0523748277408,0.9996236980194431,0.00037630198055693675
50,1581.0662808406805,0.9995930062234925,0.0004069937765075471
51,1581.080186975931,0.9995489590890667,0.0004510409109332869
52,1581.09409323349,0.9994852712384079,0.000514728761592087
53,1581.1079996133603,0.999391753483938,0.0006082465160619499
54,1581.1219061155432,0.9992577733186105,0.0007422266813894574
55,1581.135812740041,0.9990755944368047,0.0009244055631952852
56,1581.1497194868518,0.9988365507038917,0.0011634492961083431
57,1581.1636263559783,0.9985284850888722,0.001471514911127847
58,1581.1775333474232,0.9981411625995804,0.0018588374004195884
59,1581.191440461184,0.9976693414918817,0.0023306585081183107
60,1581.2053476972637,0.9971082884095398,0.0028917115904601998
61,1581.2192550556633,0.9964497682314956,0.0035502317685044416
62,1581.2331625363856,0.9956762974177505,0.004323702582249456
63,1581.2470701394284,0.9947120448546127,0.005287955145387269
64,1581.2609778647943,0.993258831413824,0.006741168586176016
65,1581.2748857124861,0.9905587376735575,0.00944126232644249
66,1581.2887936825014,0.9854648333382381,0.014535166661761911
67,1581.3027017748432,0.9771679053274057,0.022832094672594283
68,1581.3166099895125,0.9658479341313,0.03415206586870001
69,1581.330518326512,0.952311733245177,0.04768826675482296
70,1581.3444267858392,0.9378287336930018,0.06217126630699821
71,1581.3583353674974,0.9251182769274655,0.07488172307253449
72,1581.372244071489,0.9179428621059069,0.08205713789409308
73,1581.3861528978116,0.9183401908574267,0.08165980914257331
74,1581.4000618464681,0.9250878820316687,0.0749121179683313
75,1581.4139709174613,0.9352569241708305,0.0647430758291695
76,1581.427880110789,0.9464788608822103,0.05352113911778966
77,1581.4417894264536,0.9575804733639846,0.04241952663601545
78,1581.4556988644565,0.9680878687229448,0.03191213127705517
79,1581.4696084248005,0.9775829599624226,0.022417040037577385
80,1581.4835181074832,0.9855142133660395,0.014485786633960496
81,1581.4974279125072,0.9913735378034346,0.008626462196565376
82,1581.5113378398753,0.9950399377109971,0.00496006228900292
83,1581.5252478895857,0.9969280884482656,0.003071911551734363
84,1581.5391580616404,0.9977303474517007,0.0022696525482992502
85,1581.553068356041,0.9980310374292571,0.0019689625707428604
86,1581.56697877279,0.9981512392983751,0.0018487607016248742
87,1581.5808893118854,0.9982176772004197,0.0017823227995803492
88,1581.5947999733296,0.9982700426019511,0.0017299573980489313
89,1581.6087107571257,0.9983189649212159,0.0016810350787841433
90,1581.622621663271,0.9983659532572379,0.0016340467427621297
91,1581.6365326917687,0.9984102415568006,0.0015897584431994183
92,1581.6504438426198,0.9984519158480634,0.001548084151936635
93,1581.6643551158265,0.9984924564051788,0.0015075435948211924
94,1581.6782665113874,0.9985335053631036,0.0014664946368964094
95,1581.6921780293046,0.9985759241571741,0.0014240758428258893
96,1581.7060896695812,0.9986199798526556,0.0013800201473443963
97,1581.7200014322145,0.9986651377220547,0.0013348622779453256
98,1581.733913317208,0.9987090396418746,0.0012909603581253704
99,1581.7478253245617,0.998747276581563,0.0012527234184369629
100,1581.7617374542795,0.9987748308076181,0.0012251691923819141
101,1581.7756497063583,0.9987886685823715,0.001211331417628525
102,1581.7895620808013,0.9987898753502888,0.0012101246497111529
103,1581.8034745776108,0.998783556845711,0.0012164431542890375
104,1581.8173871967851,0.9987766236644864,0.0012233763355136151
105,1581.8312999383265,0.9987751876884199,0.0012248123115801146
